date,region,cum_cases,cum_deaths
2020-07-23,Andalucía,14768,1447
2020-07-24,Andalucía,14901,1448
2020-07-25,Andalucía,15002,1449
2020-07-26,Andalucía,15064,1449
2020-07-27,Andalucía,15152,1449
2020-07-28,Andalucía,15261,1449
2020-07-29,Andalucía,15411,1449
2020-07-30,Andalucía,15613,1449
2020-07-31,Andalucía,15838,1449
2020-08-01,Andalucía,16028,1449
2020-08-02,Andalucía,16189,1450
2020-08-03,Andalucía,16381,1450
2020-08-04,Andalucía,16617,1450
2020-08-05,Andalucía,16942,1451
2020-08-06,Andalucía,17260,1453
2020-08-07,Andalucía,17615,1454
2020-08-08,Andalucía,17954,1456
